run_id,timestamp,algorithm,num_communities,modularity,homophily,avg_conductance,avg_tpr,avg_clustering,min_community_size,max_community_size,mean_community_size,median_community_size,num_singleton_communities,num_small_communities
run127,2025-09-29 03:41:17,Infomap,1249,0.5054097135423452,0.5370079379548864,0.47694040302878543,0.9189007479620136,0.417451591815689,1,11018,86.0960768614892,3.0,443,645
run127,2025-09-29 03:41:17,Louvain,24,0.5967444994887321,0.706117257487924,0.2925866221178257,0.9592593970279167,0.3304537604078976,48,19772,4480.583333333333,1341.5,0,0
run127,2025-09-29 03:41:17,Leiden,19,0.5992795450249364,0.7074291887029859,0.29078128776573514,0.9605613108412223,0.3241070177618998,40,20754,5659.684210526316,4848.0,0,0
run127,2025-09-29 03:41:17,K-Means,30,0.25115049526074595,0.29498834858291517,0.7216875882212459,0.7084550002789816,0.27615040835787513,131,7968,3584.4666666666667,3582.5,0,0
