run_id,timestamp,algorithm,num_communities,modularity,homophily,avg_conductance,avg_tpr,avg_clustering,min_community_size,max_community_size,mean_community_size,median_community_size,num_singleton_communities,num_small_communities
run6,2025-09-18 15:00:49,Infomap,1262,0.5024473753031474,0.5311350828218637,0,0,0,1,10542,85.2107765451664,3.0,456,661
run6,2025-09-18 15:00:49,Louvain,27,0.5979606455280273,0.718163421584651,0,0,0,2,19830,3982.814814814815,287.0,0,1
run6,2025-09-18 15:00:49,Leiden,18,0.6016146177561361,0.7209280218185381,0,0,0,2,21024,5974.222222222223,4645.5,0,1
run6,2025-09-18 15:00:49,Kmeans,30,0.25226999167132247,0.2950089820715782,0,0,0,1319,8024,3584.5333333333333,3329.5,0,0
