run_id,timestamp,algorithm,num_communities,modularity,homophily,avg_conductance,avg_tpr,avg_clustering,min_community_size,max_community_size,mean_community_size,median_community_size,num_singleton_communities,num_small_communities
run58,2025-09-18 03:13:38,Infomap,2,0.13784337264317492,0.7843137254901961,0.20269470404984424,0.37,0.054831602870105266,31,169,100.0,100.0,0,0
run58,2025-09-18 03:13:38,Louvain,11,0.4104504546916806,0.5084033613445378,0.46961496488376847,0.21,0.05290842073907267,9,24,18.181818181818183,22.0,0,0
run58,2025-09-18 03:13:38,Leiden,9,0.38456951408014184,0.5028011204481793,0.49508448817203216,0.31,0.0864346211042842,11,27,22.22222222222222,24.0,0,0
